SCHNAME,PostalCode,ATT8SCR,Year,oa11cd,City,County
Andalusia Academy Bristol,BS20BA,58.8,2022,E00174299,Bristol 054,Bristol
Ashton Park School,BS32JL,46.6,2022,E00074249,Bristol 036,Bristol
Badminton School,BS93BA,42.7,2022,E00074331,Bristol 009,Bristol
Bedminster Down School,BS137DQ,40.6,2022,E00073330,Bristol 046,Bristol
Belgrave School,BS138RA,40.52482269503546,2022,E00073316,Bristol 050,Bristol
Blaise High School,BS107QH,43.3,2022,E00073757,Bristol 001,Bristol
Briarwood School,BS164EA,40.52482269503546,2022,E00073873,Bristol 018,Bristol
Bridge Learning Campus,BS130RL,35.8,2022,E00074370,Bristol 053,Bristol
Bristol Brunel Academy,BS151NU,48.2,2022,E00073854,Bristol 021,Bristol
Bristol Cathedral Choir School,BS15TS,59.3,2022,E00174050,Bristol 032,Bristol
Bristol Free School,BS106NJ,51.8,2022,E00074213,Bristol 002,Bristol
Bristol Grammar School,BS81SR,16.4,2022,E00073425,Bristol 032,Bristol
Bristol Metropolitan Academy,BS162HD,53.5,2022,E00073626,Bristol 012,Bristol
The City Academy Bristol,BS59JH,38.8,2022,E00073584,Bristol 055,Bristol
Claremont School,BS94LR,40.52482269503546,2022,E00073846,Bristol 011,Bristol
Clifton College,BS83EZ,26.1,2022,E00073472,Bristol 030,Bristol
Clifton High School,BS83JD,31.8,2022,E00073478,Bristol 030,Bristol
Collegiate School Bristol,BS161BJ,64.6,2022,E00073623,Bristol 019,Bristol
Cotham School,BS66DT,52.2,2022,E00073530,Bristol 022,Bristol
Elmfield School for Deaf Children,BS106AY,40.52482269503546,2022,E00074194,Bristol 002,Bristol
Fairfield High School,BS79NL,54.7,2022,E00074054,Bristol 014,Bristol
Grace Garden School,BS93PE,40.52482269503546,2022,E00074334,Bristol 009,Bristol
Kingsweston School,BS110UT,8,2022,E00073953,Bristol 007,Bristol
Knowle DGE Academy,BS41NN,2.3,2022,E00073647,Bristol 045,Bristol
LPW Independent School,BS34AG,0.4,2022,E00174285,Bristol 039,Bristol
Merchants' Academy,BS139AJ,36.1,2022,E00073717,Bristol 048,Bristol
Montpelier High School,BS65RD,63.7,2022,E00073170,Bristol 020,Bristol
New Fosseway School,BS130RG,40.52482269503546,2022,E00074370,Bristol 053,Bristol
North Star 240°,BS110QA,8.9,2022,E00073949,Bristol 003,Bristol
Oasis Academy Brightstowe,BS110EB,39.3,2022,E00073192,Bristol 003,Bristol
Oasis Academy Brislington,BS45EY,44.8,2022,E00073386,Bristol 043,Bristol
Oasis Academy John Williams,BS149BU,44.1,2022,E00073788,Bristol 047,Bristol
Orchard School Bristol,BS70XZ,43.9,2022,E00073919,Bristol 005,Bristol
Queen Elizabeth's Hospital,BS81JX,35.3,2022,E00073431,Bristol 032,Bristol
Redland Green School,BS67EH,60.8,2022,E00074087,Bristol 020,Bristol
Redmaids' High School,BS93AW,28.8,2022,E00073836,Bristol 006,Bristol
St Bede's Catholic College,BS110SU,61.6,2022,E00073937,Bristol 003,Bristol
St Bernadette Catholic Secondary School,BS149LS,48.5,2022,E00073793,Bristol 047,Bristol
St Mary Redcliffe and Temple School,BS16RT,57.1,2022,E00074010,Bristol 054,Bristol
Trinity Academy,BS79BY,40.52482269503546,2022,E00074077,Bristol 014,Bristol
Venturers' Academy,BS139AX,1,2022,E00073723,Bristol 051,Bristol
Bodmin College,PL311DD,39.5,2022,E00095617,Cornwall 014,Cornwall
Brannel School,PL267RN,43.8,2022,E00096378,Cornwall 030,Cornwall
Budehaven Community School,EX238DQ,47.2,2022,E00095626,Cornwall 001,Cornwall
Callington Community College,PL177DR,44.5,2022,E00094645,Cornwall 013,Cornwall
Camborne Science and International Academy,TR147PP,48,2022,E00095301,Cornwall 053,Cornwall
Cape Cornwall School,TR197JX,43.3,2022,E00095941,Cornwall 069,Cornwall
Curnow School,TR151LU,40.52482269503546,2022,E00095475,Cornwall 046,Cornwall
Doubletrees School,PL242DS,40.52482269503546,2022,E00096312,Cornwall 031,Cornwall
Falmouth School,TR114LH,50.2,2022,E00095230,Cornwall 064,Cornwall
Fowey River Academy,PL231HE,37.1,2022,E00096129,Cornwall 035,Cornwall
Hayle Academy,TR274DN,46.6,2022,E00095898,Cornwall 057,Cornwall
Helston Community College,TR138NR,44.5,2022,E00095345,Cornwall 071,Cornwall
Humphry Davy School,TR182TG,47.5,2022,E00095962,Cornwall 068,Cornwall
Launceston College,PL159JR,44.2,2022,E00095693,Cornwall 005,Cornwall
Liskeard School and Community College,PL143EA,43.6,2022,E00094739,Cornwall 016,Cornwall
Looe Community Academy,PL131NQ,40.4,2022,E00094776,Cornwall 028,Cornwall
The Lowen School,PL189NS,40.52482269503546,2022,E00094672,Cornwall 010,Cornwall
Mounts Bay Academy,TR183JT,47.7,2022,E00095857,Cornwall 067,Cornwall
Mullion School,TR127EB,52.3,2022,E00095455,Cornwall 073,Cornwall
Nancealverne School,TR208TP,40.52482269503546,2022,E00095853,Cornwall 067,Cornwall
Newquay Tretherras,TR73BH,51.6,2022,E00096098,Cornwall 021,Cornwall
Oak Tree School,TR49NH,2,2022,E00095009,Cornwall 043,Cornwall
Penair School,TR11TN,46,2022,E00095190,Cornwall 042,Cornwall
Pencalenick School,TR11TE,1,2022,E00095149,Cornwall 048,Cornwall
Penrice Academy,PL253NR,57.1,2022,E00096229,Cornwall 039,Cornwall
Penryn College,TR108PZ,46.5,2022,E00095092,Cornwall 060,Cornwall
Poltair School,PL254BZ,43.7,2022,E00096242,Cornwall 038,Cornwall
Pool Academy,TR153PZ,38.6,2022,E00095424,Cornwall 051,Cornwall
Red Moor School,PL305BT,40.52482269503546,2022,E00096184,Cornwall 027,Cornwall
Redruth School,TR151TA,49.8,2022,E00095477,Cornwall 046,Cornwall
Richard Lander School,TR36LT,55.8,2022,E00095018,Cornwall 043,Cornwall
The Roseland Academy,TR25SE,52.5,2022,E00095136,Cornwall 048,Cornwall
St Ives School,TR262BB,52.4,2022,E00096063,Cornwall 054,Cornwall
St Josephs School,PL158HN,56.4,2022,E00095678,Cornwall 005,Cornwall
St Piran's School (Gb) Ltd,TR274HY,40.52482269503546,2022,E00095891,Cornwall 057,Cornwall
Saltash Community School,PL124AY,44.9,2022,E00094856,Cornwall 026,Cornwall
Sir James Smith's School,PL329UJ,43.7,2022,E00095640,Cornwall 004,Cornwall
Taliesin Education Ltd,PL144DA,40.52482269503546,2022,E00094764,Cornwall 017,Cornwall
Three Bridges,TR48EG,40.52482269503546,2022,E00095037,Cornwall 040,Cornwall
Torpoint Community College,PL112NH,45.6,2022,E00094897,Cornwall 029,Cornwall
Treviglas Academy,TR73JA,47.1,2022,E00096263,Cornwall 018,Cornwall
Truro High School,TR12HU,50.9,2022,E00094949,Cornwall 044,Cornwall
Truro School,TR11TH,37.3,2022,E00095188,Cornwall 042,Cornwall
Wadebridge School,PL276BU,47.1,2022,E00095814,Cornwall 009,Cornwall
Ashton Park School,BS32JL,47.1,2023,E00074249,Bristol 036,Bristol
Badminton School,BS93BA,42.3,2023,E00074331,Bristol 009,Bristol
Bedminster Down School,BS137DQ,39.3,2023,E00073330,Bristol 046,Bristol
Belgrave School,BS138RA,29.3,2023,E00073316,Bristol 050,Bristol
Blaise High School,BS107QH,41.1,2023,E00073757,Bristol 001,Bristol
Briarwood School,BS164EA,40.52482269503546,2023,E00073873,Bristol 018,Bristol
Bridge Learning Campus,BS130RL,37.7,2023,E00074370,Bristol 053,Bristol
Bristol Brunel Academy,BS151NU,46.9,2023,E00073854,Bristol 021,Bristol
Bristol Cathedral Choir School,BS15TS,54.9,2023,E00174050,Bristol 032,Bristol
Bristol Free School,BS106NJ,57.8,2023,E00074213,Bristol 002,Bristol
Bristol Grammar School,BS81SR,12.3,2023,E00073425,Bristol 032,Bristol
Bristol Metropolitan Academy,BS162HD,45.4,2023,E00073626,Bristol 012,Bristol
The City Academy Bristol,BS59JH,35.9,2023,E00073584,Bristol 055,Bristol
Claremont School,BS94LR,40.52482269503546,2023,E00073846,Bristol 011,Bristol
Clifton College,BS83EZ,27.2,2023,E00073472,Bristol 030,Bristol
Clifton High School,BS83JD,27.8,2023,E00073478,Bristol 030,Bristol
Collegiate School,BS161BJ,67.7,2023,E00073623,Bristol 019,Bristol
Cotham School,BS66DT,47.4,2023,E00073530,Bristol 022,Bristol
Elmfield School for Deaf Children,BS70PU,2.3,2023,E00073896,Bristol 005,Bristol
Fairfield High School,BS79NL,45.5,2023,E00074054,Bristol 014,Bristol
Grace Garden School,BS93PE,40.52482269503546,2023,E00074334,Bristol 009,Bristol
Kingsweston School,BS110UT,13.7,2023,E00073953,Bristol 007,Bristol
Knowle DGE Academy,BS41NN,2.6,2023,E00073647,Bristol 045,Bristol
LPW Independent School,BS34AG,0.8,2023,E00174285,Bristol 039,Bristol
Merchants' Academy,BS139AJ,29.3,2023,E00073717,Bristol 048,Bristol
Montpelier High School,BS65RD,57.5,2023,E00073170,Bristol 020,Bristol
New Fosseway School,BS130RG,40.52482269503546,2023,E00074370,Bristol 053,Bristol
North Star 240°,BS110QA,7.9,2023,E00073949,Bristol 003,Bristol
Oasis Academy Brightstowe,BS110EB,37.4,2023,E00073192,Bristol 003,Bristol
Oasis Academy Brislington,BS45EY,43.3,2023,E00073386,Bristol 043,Bristol
Oasis Academy Daventry Road,BS149SQ,40.52482269503546,2023,E00073816,Bristol 047,Bristol
Oasis Academy John Williams,BS149BU,39.7,2023,E00073788,Bristol 047,Bristol
Oasis Academy Temple Quarter,BS45EY,40.52482269503546,2023,E00073386,Bristol 043,Bristol
Orchard School Bristol,BS70XZ,39.8,2023,E00073919,Bristol 005,Bristol
Queen Elizabeth's Hospital,BS81JX,35.7,2023,E00073431,Bristol 032,Bristol
Redland Green School,BS67EH,60.6,2023,E00074087,Bristol 020,Bristol
Redmaids' High School,BS93AW,30.9,2023,E00073836,Bristol 006,Bristol
St Bede's Catholic College,BS110SU,57.8,2023,E00073937,Bristol 003,Bristol
St Bernadette Catholic Secondary School,BS149LS,45,2023,E00073793,Bristol 047,Bristol
St Mary Redcliffe and Temple School,BS16RT,54.4,2023,E00074010,Bristol 054,Bristol
Trinity Academy,BS79BY,40.52482269503546,2023,E00074077,Bristol 014,Bristol
Venturers' Academy,BS139AX,40.52482269503546,2023,E00073723,Bristol 051,Bristol
Bodmin College,PL311DD,37,2023,E00095617,Cornwall 014,Cornwall
Brannel School,PL267RN,41.5,2023,E00096378,Cornwall 030,Cornwall
Budehaven Community School,EX238DQ,45.7,2023,E00095626,Cornwall 001,Cornwall
Callington Community College,PL177DR,40,2023,E00094645,Cornwall 013,Cornwall
Camborne Science and International Academy,TR147PP,44.5,2023,E00095301,Cornwall 053,Cornwall
Cape Cornwall School,TR197JX,39.5,2023,E00095941,Cornwall 069,Cornwall
Curnow School,TR151LU,40.52482269503546,2023,E00095475,Cornwall 046,Cornwall
Doubletrees School,PL242DS,40.52482269503546,2023,E00096312,Cornwall 031,Cornwall
Falmouth School,TR114LH,42.7,2023,E00095230,Cornwall 064,Cornwall
Fountain Head House School,PL124AE,40.52482269503546,2023,E00094889,Cornwall 025,Cornwall
Fowey River Academy,PL231HE,39.6,2023,E00096129,Cornwall 035,Cornwall
Hayle Academy,TR274DN,38.6,2023,E00095898,Cornwall 057,Cornwall
Helston Community College,TR138NR,44.2,2023,E00095345,Cornwall 071,Cornwall
Humphry Davy School,TR182TG,42.8,2023,E00095962,Cornwall 068,Cornwall
Launceston College,PL159JR,45.1,2023,E00095693,Cornwall 005,Cornwall
Liskeard School and Community College,PL143EA,40.9,2023,E00094739,Cornwall 016,Cornwall
Looe Community Academy,PL131NQ,41.2,2023,E00094776,Cornwall 028,Cornwall
The Lowen School,PL189NS,40.52482269503546,2023,E00094672,Cornwall 010,Cornwall
Mounts Bay Academy,TR183JT,45.1,2023,E00095857,Cornwall 067,Cornwall
Mullion School,TR127EB,48.9,2023,E00095455,Cornwall 073,Cornwall
Nancealverne School,TR208TP,40.52482269503546,2023,E00095853,Cornwall 067,Cornwall
Newquay Tretherras,TR73BH,47.5,2023,E00096098,Cornwall 021,Cornwall
Oak Tree School,TR49NH,9.3,2023,E00095009,Cornwall 043,Cornwall
Penair School,TR11TN,45.3,2023,E00095190,Cornwall 042,Cornwall
Pencalenick School,TR11TE,2.7,2023,E00095149,Cornwall 048,Cornwall
Penrice Academy,PL253NR,53.4,2023,E00096229,Cornwall 039,Cornwall
Penryn College,TR108PZ,49,2023,E00095092,Cornwall 060,Cornwall
Poltair School,PL254BZ,44.1,2023,E00096242,Cornwall 038,Cornwall
Pool Academy,TR153PZ,37.9,2023,E00095424,Cornwall 051,Cornwall
Red Moor School,PL305BT,40.52482269503546,2023,E00096184,Cornwall 027,Cornwall
Redruth School,TR151TA,45.2,2023,E00095477,Cornwall 046,Cornwall
Richard Lander School,TR36LT,49.5,2023,E00095018,Cornwall 043,Cornwall
The Roseland Academy,TR25SE,50.4,2023,E00095136,Cornwall 048,Cornwall
St Ives School,TR262BB,47.4,2023,E00096063,Cornwall 054,Cornwall
St Josephs School,PL158HN,55.4,2023,E00095678,Cornwall 005,Cornwall
St Piran's School (Gb) Ltd,TR274HY,40.52482269503546,2023,E00095891,Cornwall 057,Cornwall
Saltash Community School,PL124AY,40.4,2023,E00094856,Cornwall 026,Cornwall
Sir James Smith's School,PL329UJ,37.5,2023,E00095640,Cornwall 004,Cornwall
Taliesin Education Ltd,PL144DA,40.52482269503546,2023,E00094764,Cornwall 017,Cornwall
Torpoint Community College,PL112NH,41.6,2023,E00094897,Cornwall 029,Cornwall
Treviglas Academy,TR73JA,45.7,2023,E00096263,Cornwall 018,Cornwall
Truro High School,TR12HU,45.9,2023,E00094949,Cornwall 044,Cornwall
Truro School,TR11TH,34.8,2023,E00095188,Cornwall 042,Cornwall
Wadebridge School,PL276BU,46.1,2023,E00095814,Cornwall 009,Cornwall
